0, 6, 21, 5, 8, 10, 3, 2, 8, 14, 4, 23, 8, 5, 12, 24, 8, 26, 12, 23, 11, 7, 20, 23, 16, 25, 11, 24, 23, 15
6, 0, 22, 17, 24, 1, 25, 11, 1, 15, 17, 0, 5, 28, 8, 18, 15, 17, 6, 11, 20, 17, 9, 11, 26, 9, 16, 1, 20, 13
21, 22, 0, 11, 21, 16, 19, 29, 22, 18, 18, 16, 14, 15, 10, 12, 13, 17, 29, 18, 10, 19, 29, 4, 16, 3, 10, 22, 24, 22
5, 17, 11, 0, 11, 17, 9, 18, 6, 7, 0, 3, 8, 25, 27, 28, 19, 0, 14, 25, 23, 2, 13, 23, 4, 7, 13, 3, 19, 13
8, 24, 21, 11, 0, 11, 4, 16, 7, 13, 14, 4, 24, 1, 8, 6, 2, 8, 3, 10, 11, 27, 15, 22, 21, 16, 16, 19, 24, 0
10, 1, 16, 17, 11, 0, 4, 19, 3, 13, 12, 26, 10, 12, 0, 19, 28, 11, 12, 16, 3, 5, 26, 21, 16, 23, 23, 26, 13, 17
3, 25, 19, 9, 4, 4, 0, 13, 0, 18, 7, 24, 8, 0, 28, 17, 6, 6, 17, 28, 18, 10, 9, 25, 28, 10, 1, 2, 27, 18
2, 11, 29, 18, 16, 19, 13, 0, 21, 17, 4, 12, 22, 18, 29, 16, 6, 4, 20, 26, 5, 18, 8, 17, 12, 20, 23, 5, 11, 21
8, 1, 22, 6, 7, 3, 0, 21, 0, 18, 25, 25, 4, 9, 19, 29, 0, 0, 28, 8, 7, 24, 29, 15, 1, 29, 6, 7, 21, 16
14, 15, 18, 7, 13, 13, 18, 17, 18, 0, 19, 1, 22, 20, 29, 15, 25, 26, 26, 11, 5, 15, 14, 27, 5, 16, 6, 0, 19, 1
4, 17, 18, 0, 14, 12, 7, 4, 25, 19, 0, 4, 23, 25, 29, 17, 21, 4, 1, 11, 19, 17, 11, 8, 25, 2, 11, 20, 23, 2
23, 0, 16, 3, 4, 26, 24, 12, 25, 1, 4, 0, 25, 24, 20, 12, 24, 6, 21, 25, 20, 17, 22, 22, 6, 12, 25, 27, 16, 15
8, 5, 14, 8, 24, 10, 8, 22, 4, 22, 23, 25, 0, 18, 23, 14, 8, 21, 3, 1, 9, 21, 10, 5, 23, 20, 14, 13, 4, 3
5, 28, 15, 25, 1, 12, 0, 18, 9, 20, 25, 24, 18, 0, 5, 6, 2, 15, 11, 28, 25, 10, 6, 0, 14, 18, 5, 20, 11, 9
12, 8, 10, 27, 8, 0, 28, 29, 19, 29, 29, 20, 23, 5, 0, 5, 12, 21, 16, 25, 19, 6, 29, 12, 14, 15, 27, 15, 26, 1
24, 18, 12, 28, 6, 19, 17, 16, 29, 15, 17, 12, 14, 6, 5, 0, 0, 4, 13, 9, 10, 11, 24, 17, 3, 11, 4, 16, 22, 29
8, 15, 13, 19, 2, 28, 6, 6, 0, 25, 21, 24, 8, 2, 12, 0, 0, 25, 11, 13, 25, 19, 8, 8, 14, 2, 23, 0, 14, 17
26, 17, 17, 0, 8, 11, 6, 4, 0, 26, 4, 6, 21, 15, 21, 4, 25, 0, 18, 20, 6, 9, 19, 4, 25, 18, 22, 18, 28, 13
12, 6, 29, 14, 3, 12, 17, 20, 28, 26, 1, 21, 3, 11, 16, 13, 11, 18, 0, 21, 1, 26, 5, 22, 8, 13, 25, 25, 24, 21
23, 11, 18, 25, 10, 16, 28, 26, 8, 11, 11, 25, 1, 28, 25, 9, 13, 20, 21, 0, 23, 17, 16, 22, 28, 8, 15, 14, 23, 22
11, 20, 10, 23, 11, 3, 18, 5, 7, 5, 19, 20, 9, 25, 19, 10, 25, 6, 1, 23, 0, 6, 16, 13, 0, 6, 19, 1, 11, 15
7, 17, 19, 2, 27, 5, 10, 18, 24, 15, 17, 17, 21, 10, 6, 11, 19, 9, 26, 17, 6, 0, 4, 21, 6, 0, 3, 9, 22, 17
20, 9, 29, 13, 15, 26, 9, 8, 29, 14, 11, 22, 10, 6, 29, 24, 8, 19, 5, 16, 16, 4, 0, 21, 28, 3, 6, 29, 3, 24
23, 11, 4, 23, 22, 21, 25, 17, 15, 27, 8, 22, 5, 0, 12, 17, 8, 4, 22, 22, 13, 21, 21, 0, 29, 9, 16, 25, 9, 5
16, 26, 16, 4, 21, 16, 28, 12, 1, 5, 25, 6, 23, 14, 14, 3, 14, 25, 8, 28, 0, 6, 28, 29, 0, 18, 27, 28, 22, 15
25, 9, 3, 7, 16, 23, 10, 20, 29, 16, 2, 12, 20, 18, 15, 11, 2, 18, 13, 8, 6, 0, 3, 9, 18, 0, 21, 21, 17, 26
11, 16, 10, 13, 16, 23, 1, 23, 6, 6, 11, 25, 14, 5, 27, 4, 23, 22, 25, 15, 19, 3, 6, 16, 27, 21, 0, 29, 15, 18
24, 1, 22, 3, 19, 26, 2, 5, 7, 0, 20, 27, 13, 20, 15, 16, 0, 18, 25, 14, 1, 9, 29, 25, 28, 21, 29, 0, 14, 21
23, 20, 24, 19, 24, 13, 27, 11, 21, 19, 23, 16, 4, 11, 26, 22, 14, 28, 24, 23, 11, 22, 3, 9, 22, 17, 15, 14, 0, 11
15, 13, 22, 13, 0, 17, 18, 21, 16, 1, 2, 15, 3, 9, 1, 29, 17, 13, 21, 22, 15, 17, 24, 5, 15, 26, 18, 21, 11, 0
